A,P,sigma,kappa,I_kA,B_T,mark
0.016611341829878418,1.1675678439752053,0.18,1.95,300.0,0.7,1
0.016865267443944676,1.1934168029059364,0.18,1.95,300.0,0.7,1
0.014572005727873476,1.2212422351636756,0.18,1.95,300.0,0.7,1
0.016572892790181586,1.2022864305276955,0.18,1.95,300.0,0.7,1
0.014673814582237165,1.1687185937895568,0.18,1.95,300.0,0.7,1
0.01540186775690827,1.2163564988848603,0.18,1.95,300.0,0.7,1
0.01622106904445252,1.205956161327083,0.18,1.95,300.0,0.7,1
0.01561971628069252,1.1464038721784777,0.18,1.95,300.0,0.7,0
0.01595322804525803,1.1300617256104175,0.18,1.95,300.0,0.7,0
0.016772367200188272,1.1868464399122065,0.18,1.95,300.0,0.7,1
0.01656373690446665,1.1591325968129869,0.18,1.95,300.0,0.7,0
0.017201567757395238,1.2129921121322198,0.18,1.95,300.0,0.7,1
0.016624624175431812,1.1431438707851969,0.18,1.95,300.0,0.7,0
0.01568963669539163,1.128060376578723,0.18,1.95,300.0,0.7,0
0.01475234216041317,1.1919848953242456,0.18,1.95,300.0,0.7,1
0.016523760151933978,1.220430973243421,0.18,1.95,300.0,0.7,1
0.015266949758624982,1.160725970603487,0.18,1.95,300.0,0.7,1
0.01569814111803795,1.1426271359084286,0.18,1.95,300.0,0.7,0
0.014679238200216941,1.1712504926225935,0.18,1.95,300.0,0.7,1
0.014970201731363179,1.1906613994682511,0.18,1.95,300.0,0.7,1
0.01560092944082752,1.206947819605784,0.18,1.95,300.0,0.7,1
0.016390268990217276,1.1549166641382043,0.18,1.95,300.0,0.7,0
0.01678625308839613,1.2041564357496803,0.18,1.95,300.0,0.7,1
0.01545190882130105,1.1525128103930244,0.18,1.95,300.0,0.7,0
0.016336960196135453,1.137655248360931,0.18,1.95,300.0,0.7,0
0.020678671975846375,1.1244162269751006,0.18,1.95,300.0,0.7,0
0.022439720500927466,1.1901650856592032,0.18,1.95,300.0,0.7,0
0.022194443504300058,1.201752903102197,0.18,1.95,300.0,0.7,1
0.02145569469503607,1.1805541195952893,0.18,1.95,300.0,0.7,0
0.020498338362804024,1.1351330073535975,0.18,1.95,300.0,0.7,0
0.022084156253792467,1.1707896206143134,0.18,1.95,300.0,0.7,0
0.02177465568786462,1.2001798857416026,0.18,1.95,300.0,0.7,1
0.021983102328422825,1.1790379400657995,0.18,1.95,300.0,0.7,0
0.02175656885065729,1.1540750098062613,0.18,1.95,300.0,0.7,0
0.02017140087212487,1.1673517389232364,0.18,1.95,300.0,0.7,0
0.02072270138687964,1.1645328643724637,0.18,1.95,300.0,0.7,0
0.02263915658822555,1.1470739485865342,0.18,1.95,300.0,0.7,0
0.02025385559348825,1.1518183892021998,0.18,1.95,300.0,0.7,0
0.020959728641721104,1.1898716514726895,0.18,1.95,300.0,0.7,1
0.021750043825444886,1.2020698209106415,0.18,1.95,300.0,0.7,1
0.022071887989403214,1.1643186861440071,0.18,1.95,300.0,0.7,0
0.022521008522419155,1.1403772919907704,0.18,1.95,300.0,0.7,0
0.020147083587822634,1.1326847860775642,0.18,1.95,300.0,0.7,0
0.022246025420210404,1.1698677230251389,0.18,1.95,300.0,0.7,0
0.020562762705521858,1.1737844775103363,0.18,1.95,300.0,0.7,0
0.020535883676560555,1.1933120375077737,0.18,1.95,300.0,0.7,1
0.021417416195143143,1.1617821226096483,0.18,1.95,300.0,0.7,0
0.02098348363586468,1.186708259311889,0.18,1.95,300.0,0.7,0
0.021164385200081223,1.1324449919316102,0.18,1.95,300.0,0.7,0
