A,P,sigma,kappa,I_kA,B_T,mark
0.0450028801843318,0.3,0.35,1.83,400.0,0.8,0
0.0450028801843318,0.57368,0.35,1.83,400.0,0.8,0
0.0450028801843318,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.0450028801843318,1.12105,0.35,1.83,400.0,0.8,0
0.0450028801843318,1.39474,0.35,1.83,400.0,0.8,0
0.0450028801843318,1.66842,0.35,1.83,400.0,0.8,0
0.0450028801843318,1.94211,0.35,1.83,400.0,0.8,0
0.0450028801843318,2.21579,0.35,1.83,400.0,0.8,0
0.0450028801843318,2.48947,0.35,1.83,400.0,0.8,0
0.0450028801843318,2.76316,0.35,1.83,400.0,0.8,0
0.0450028801843318,3.03684,0.35,1.83,400.0,0.8,0
0.0450028801843318,3.31053,0.35,1.83,400.0,0.8,0
0.0450028801843318,3.58421,0.35,1.83,400.0,0.8,0
0.0450028801843318,3.85789,0.35,1.83,400.0,0.8,0
0.0450028801843318,4.13158,0.35,1.83,400.0,0.8,0
0.0450028801843318,4.40526,0.35,1.83,400.0,0.8,0
0.0450028801843318,4.67895,0.35,1.83,400.0,0.8,0
0.0450028801843318,4.95263,0.35,1.83,400.0,0.8,0
0.0450028801843318,5.22632,0.35,1.83,400.0,0.8,0
0.0450028801843318,5.5,0.35,1.83,400.0,0.8,0
0.05052546483427647,0.3,0.35,1.83,400.0,0.8,0
0.05052546483427647,0.57368,0.35,1.83,400.0,0.8,0
0.05052546483427647,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.05052546483427647,1.12105,0.35,1.83,400.0,0.8,0
0.05052546483427647,1.39474,0.35,1.83,400.0,0.8,0
0.05052546483427647,1.66842,0.35,1.83,400.0,0.8,0
0.05052546483427647,1.94211,0.35,1.83,400.0,0.8,0
0.05052546483427647,2.21579,0.35,1.83,400.0,0.8,0
0.05052546483427647,2.48947,0.35,1.83,400.0,0.8,0
0.05052546483427647,2.76316,0.35,1.83,400.0,0.8,0
0.05052546483427647,3.03684,0.35,1.83,400.0,0.8,0
0.05052546483427647,3.31053,0.35,1.83,400.0,0.8,0
0.05052546483427647,3.58421,0.35,1.83,400.0,0.8,0
0.05052546483427647,3.85789,0.35,1.83,400.0,0.8,0
0.05052546483427647,4.13158,0.35,1.83,400.0,0.8,0
0.05052546483427647,4.40526,0.35,1.83,400.0,0.8,0
0.05052546483427647,4.67895,0.35,1.83,400.0,0.8,0
0.05052546483427647,4.95263,0.35,1.83,400.0,0.8,0
0.05052546483427647,5.22632,0.35,1.83,400.0,0.8,0
0.05052546483427647,5.5,0.35,1.83,400.0,0.8,0
0.05605381165919283,0.3,0.35,1.83,400.0,0.8,0
0.05605381165919283,0.57368,0.35,1.83,400.0,0.8,0
0.05605381165919283,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.05605381165919283,1.12105,0.35,1.83,400.0,0.8,0
0.05605381165919283,1.39474,0.35,1.83,400.0,0.8,0
0.05605381165919283,1.66842,0.35,1.83,400.0,0.8,0
0.05605381165919283,1.94211,0.35,1.83,400.0,0.8,0
0.05605381165919283,2.21579,0.35,1.83,400.0,0.8,0
0.05605381165919283,2.48947,0.35,1.83,400.0,0.8,0
0.05605381165919283,2.76316,0.35,1.83,400.0,0.8,0
0.05605381165919283,3.03684,0.35,1.83,400.0,0.8,0
0.05605381165919283,3.31053,0.35,1.83,400.0,0.8,0
